Location,Year,Date,CTT,CTP,COD,CER,WCER
Kolkata,2016,01-06-2016,213.829995,254.300004,20.8499995,31.1399993,14.7199997
Kolkata,2016,02-06-2016,298.169993,893.200013,0.699999984,22.4999995,16.8999996
Kolkata,2016,03-06-2016,298.029993,758.100011,-9999,-9999,16.7799996
Kolkata,2016,04-06-2016,282.149994,750.800011,25.1699994,35.4299992,16.1399996
Kolkata,2016,05-06-2016,283.499994,857.000013,12.3599997,45.099999,15.6399997
Kolkata,2016,06-06-2016,284.779994,669.60001,23.9899995,35.7399992,15.0599997
Kolkata,2016,07-06-2016,221.759995,173.000003,22.5299995,33.9099992,23.5899995
Kolkata,2016,08-06-2016,233.729995,286.100004,11.9999997,30.6999993,17.6399996
Kolkata,2016,09-06-2016,246.219994,291.500004,2.13999995,33.4499993,20.1299996
Kolkata,2016,10-06-2016,249.739994,404.400006,1.61999996,30.1999993,16.1399996
Kolkata,2016,11-06-2016,228.769995,205.200003,1.66999996,35.1599992,18.8899996
Kolkata,2016,12-06-2016,198.339996,239.100004,12.4399997,23.9799995,-9999
Kolkata,2016,13-06-2016,202.299995,311.800005,113.339997,29.1099993,-9999
Kolkata,2016,14-06-2016,-9999,385.000006,-9999,-9999,-9999
Kolkata,2016,15-06-2016,214.879995,240.500004,2.07999995,32.1499993,16.9799996
Kolkata,2016,16-06-2016,266.049994,706.100011,4.6299999,28.0299994,17.3999996
Kolkata,2016,17-06-2016,241.089995,332.500005,4.77999989,25.9899994,21.2199995
Kolkata,2016,18-06-2016,215.949995,505.600008,6.30999986,34.5499992,19.5699996
Kolkata,2016,19-06-2016,228.299995,517.900008,10.2899998,33.5599992,19.5999996
Kolkata,2016,20-06-2016,263.359994,501.200007,3.18999993,35.1399992,20.1499995
Kolkata,2016,21-06-2016,270.999994,253.900004,2.14999995,20.4599995,24.9699994
Kolkata,2016,22-06-2016,206.899995,168.500003,2.71999994,22.9599995,19.1099996
Kolkata,2016,23-06-2016,214.839995,180.700003,2.08999995,35.2299992,10.3699998
Kolkata,2016,24-06-2016,274.339994,639.10001,8.8599998,37.1899992,14.1499997
Kolkata,2016,25-06-2016,267.989994,369.600006,0.88999998,33.5299993,14.9999997
Kolkata,2016,26-06-2016,297.909993,696.10001,-9999,-9999,13.3299997
Kolkata,2016,27-06-2016,236.429995,476.200007,5.47999988,34.2799992,20.4999995
Kolkata,2016,28-06-2016,281.929994,606.300009,35.6799992,22.9399995,16.7799996
Kolkata,2016,29-06-2016,228.389995,238.300004,5.22999988,18.6499996,17.2499996
Kolkata,2016,30-06-2016,-9999,236.500004,-9999,-9999,-9999
Kolkata,2016,01-07-2016,227.479995,238.900004,15.8899996,27.0099994,19.5799996
Kolkata,2016,02-07-2016,208.789995,142.600002,19.4299996,35.4899992,23.6299995
Kolkata,2016,03-07-2016,195.959996,112.800002,85.0199981,37.2399992,-9999
Kolkata,2016,04-07-2016,214.289995,259.700004,38.5299991,34.5399992,14.5699997
Kolkata,2016,05-07-2016,206.379995,141.500002,16.8099996,33.6499992,-9999
Kolkata,2016,06-07-2016,205.149995,260.400004,11.0199998,27.7199994,26.2399994
Kolkata,2016,07-07-2016,248.289994,213.800003,5.42999988,24.2699995,17.0499996
Kolkata,2016,08-07-2016,228.709995,265.400004,7.85999982,25.1899994,16.2499996
Kolkata,2016,09-07-2016,244.829995,208.100003,7.75999983,34.7999992,19.7399996
Kolkata,2016,10-07-2016,227.709995,225.100003,5.39999988,23.3499995,20.1499995
Kolkata,2016,11-07-2016,266.549994,667.40001,18.2199996,36.8199992,17.8699996
Kolkata,2016,12-07-2016,217.429995,395.800006,44.889999,35.4499992,23.3799995
Kolkata,2016,13-07-2016,224.739995,468.400007,4.5799999,40.4999991,-9999
Kolkata,2016,14-07-2016,216.309995,177.900003,14.2499997,28.4099994,21.7599995
Kolkata,2016,15-07-2016,214.789995,163.900002,37.6599992,32.3299993,20.9799995
Kolkata,2016,16-07-2016,-9999,287.500004,-9999,-9999,-9999
Kolkata,2016,17-07-2016,231.019995,235.400004,12.5999997,28.5699994,16.6499996
Kolkata,2016,18-07-2016,216.959995,311.000005,5.50999988,16.1199996,13.6999997
Kolkata,2016,19-07-2016,210.959995,291.500004,5.81999987,17.8099996,16.6999996
Kolkata,2016,20-07-2016,237.469995,289.200004,6.07999986,35.8799992,18.1599996
Kolkata,2016,21-07-2016,220.729995,170.700003,5.69999987,18.4399996,15.9199996
Kolkata,2016,22-07-2016,221.429995,225.200003,17.5299996,27.4599994,22.1999995
Kolkata,2016,23-07-2016,203.689995,165.500002,13.1299997,30.5199993,-9999
Kolkata,2016,24-07-2016,219.469995,270.000004,11.5699997,31.6199993,20.7999995
Kolkata,2016,25-07-2016,207.889995,283.700004,22.0799995,35.5199992,15.8399996
Kolkata,2016,26-07-2016,250.619994,356.800005,18.4599996,27.0999994,21.9099995
Kolkata,2016,27-07-2016,245.599995,282.800004,2.78999994,29.6499993,20.1699995
Kolkata,2016,28-07-2016,283.089994,565.400008,0.989999978,41.1399991,15.9999996
Kolkata,2016,29-07-2016,263.549994,458.400007,4.17999991,38.4099991,22.7899995
Kolkata,2016,30-07-2016,209.199995,143.700002,5.37999988,31.2399993,23.1599995
Kolkata,2016,31-07-2016,227.849995,211.700003,11.1899997,24.0299995,18.5099996
Kolkata,2016,01-08-2016,-9999,193.700003,-9999,-9999,-9999
Kolkata,2016,02-08-2016,234.739995,347.600005,5.32999988,27.9399994,17.7999996
Kolkata,2016,03-08-2016,269.809994,268.700004,3.59999992,38.2199991,22.1099995
Kolkata,2016,04-08-2016,289.019994,674.60001,-9999,-9999,18.1599996
Kolkata,2016,05-08-2016,200.719996,129.800002,18.2799996,30.4899993,-9999
Kolkata,2016,06-08-2016,210.019995,157.500002,13.2499997,35.8899992,23.4499995
Kolkata,2016,07-08-2016,210.409995,189.500003,24.3199995,35.2799992,25.4799994
Kolkata,2016,08-08-2016,208.599995,192.000003,22.6599995,27.8599994,22.2099995
Kolkata,2016,09-08-2016,209.509995,148.900002,15.8899996,20.6799995,15.3999997
Kolkata,2016,10-08-2016,198.329996,159.500002,26.5099994,29.3899993,-9999
Kolkata,2016,11-08-2016,248.649994,470.500007,6.93999984,25.2899994,15.9499996
Kolkata,2016,12-08-2016,263.579994,668.10001,9.60999979,37.3399992,19.2699996
Kolkata,2016,13-08-2016,244.359995,535.000008,1.70999996,34.9299992,21.2299995
Kolkata,2016,14-08-2016,229.619995,283.600004,2.05999995,34.4899992,18.7199996
Kolkata,2016,15-08-2016,279.829994,372.600006,1.86999996,26.8299994,19.0799996
Kolkata,2016,16-08-2016,238.549995,273.200004,2.64999994,19.8699996,14.6199997
Kolkata,2016,17-08-2016,-9999,115.300002,-9999,-9999,-9999
Kolkata,2016,18-08-2016,218.609995,308.800005,6.99999984,17.0399996,14.8199997
Kolkata,2016,19-08-2016,287.019994,655.90001,-9999,-9999,14.0499997
Kolkata,2016,20-08-2016,212.939995,158.000002,3.43999992,22.3999995,18.9499996
Kolkata,2016,21-08-2016,197.629996,147.100002,46.409999,28.7199994,-9999
Kolkata,2016,22-08-2016,231.029995,522.700008,22.6799995,38.6199991,21.6699995
Kolkata,2016,23-08-2016,274.219994,645.80001,1.72999996,34.7999992,19.2799996
Kolkata,2016,24-08-2016,220.469995,481.900007,7.02999984,9.35999979,13.7499997
Kolkata,2016,25-08-2016,296.419993,703.30001,1.17999997,48.3199989,14.9699997
Kolkata,2016,26-08-2016,256.759994,330.400005,1.31999997,33.9199992,20.0899996
